,date,topic,volume,percentage,state,state_abbrev
237,2023-04-30,Adidas - California State,945290,24.158790846499457,California,CA
238,2023-04-30,New Balance - California State,937990,23.97222463594032,California,CA
239,2023-04-30,Nike - California State,2029540,51.86898451756022,California,CA
240,2023-03-31,Adidas - California State,969570,23.6742636968741,California,CA
241,2023-03-31,New Balance - California State,954670,23.310446201403508,California,CA
242,2023-03-31,Nike - California State,2171220,53.01529010172239,California,CA
243,2023-02-28,Adidas - California State,807040,21.747823978010725,California,CA
244,2023-02-28,New Balance - California State,863800,23.277372066075618,California,CA
245,2023-02-28,Nike - California State,2040060,54.974803955913664,California,CA
246,2023-01-31,Adidas - California State,823910,21.075963614410988,California,CA
247,2023-01-31,New Balance - California State,856880,21.919350052695663,California,CA
248,2023-01-31,Nike - California State,2228450,57.00468633289335,California,CA
249,2022-12-31,Adidas - California State,1096610,21.04874219268848,California,CA
250,2022-12-31,New Balance - California State,871580,16.729432268813365,California,CA
251,2022-12-31,Nike - California State,3241670,62.22182553849815,California,CA
252,2022-11-30,Adidas - California State,1221910,24.389275114121077,California,CA
253,2022-11-30,New Balance - California State,849950,16.964968273643073,California,CA
254,2022-11-30,Nike - California State,2938170,58.64575661223586,California,CA
255,2022-10-31,Adidas - California State,1009070,25.9792386474226,California,CA
256,2022-10-31,New Balance - California State,721740,18.58171950547612,California,CA
257,2022-10-31,Nike - California State,2153330,55.43904184710129,California,CA
258,2022-09-30,Adidas - California State,780620,23.750368903208926,California,CA
259,2022-09-30,New Balance - California State,653200,19.873614521247305,California,CA
260,2022-09-30,Nike - California State,1852950,56.37601657554377,California,CA
261,2022-08-31,Adidas - California State,949670,23.03481163104328,California,CA
262,2022-08-31,New Balance - California State,661120,16.03585947278037,California,CA
263,2022-08-31,Nike - California State,2511970,60.92932889617635,California,CA
264,2022-07-31,Adidas - California State,873350,22.769520363123466,California,CA
265,2022-07-31,New Balance - California State,617380,16.09600558972367,California,CA
266,2022-07-31,Nike - California State,2344880,61.134474047152864,California,CA
267,2022-06-30,Adidas - California State,774240,23.32230837354733,California,CA
268,2022-06-30,New Balance - California State,534660,16.105478139854327,California,CA
269,2022-06-30,Nike - California State,2010840,60.57221348659835,California,CA
270,2022-05-31,Adidas - California State,733230,21.522922207154053,California,CA
271,2022-05-31,New Balance - California State,617640,18.12994240828475,California,CA
272,2022-05-31,Nike - California State,2055870,60.34713538456119,California,CA
273,2022-04-30,Adidas - California State,710600,21.00477676882331,California,CA
274,2022-04-30,New Balance - California State,625440,18.48751418842225,California,CA
275,2022-04-30,Nike - California State,2047000,60.50770904275444,California,CA
276,2022-03-31,Adidas - California State,806740,21.36380488321593,California,CA
277,2022-03-31,New Balance - California State,631210,16.715481171548117,California,CA
278,2022-03-31,Nike - California State,2338250,61.92071394523595,California,CA
279,2022-02-28,Adidas - California State,680790,20.805777294231262,California,CA
280,2022-02-28,New Balance - California State,539400,16.484725499064826,California,CA
281,2022-02-28,Nike - California State,2051930,62.70949720670392,California,CA
282,2022-01-31,Adidas - California State,715730,19.31372628386237,California,CA
283,2022-01-31,New Balance - California State,567390,15.310822735110545,California,CA
284,2022-01-31,Nike - California State,2422690,65.3754509810271,California,CA
285,2021-12-31,Adidas - California State,997540,20.88415463913209,California,CA
286,2021-12-31,New Balance - California State,528970,11.074334141449668,California,CA
287,2021-12-31,Nike - California State,3250030,68.04151121941824,California,CA
288,2025-11-30,Adidas - Texas State,940120,24.465344318779177,Texas,TX
289,2025-11-30,New Balance - Texas State,1112900,28.96170881628872,Texas,TX
290,2025-11-30,Nike - Texas State,1789640,46.5729468649321,Texas,TX
291,2025-10-31,Adidas - Texas State,670070,25.4789155481197,Texas,TX
292,2025-10-31,New Balance - Texas State,775110,29.472983763641203,Texas,TX
293,2025-10-31,Nike - Texas State,1184720,45.048100688239096,Texas,TX
294,2025-09-30,Adidas - Texas State,692100,25.805561562726048,Texas,TX
295,2025-09-30,New Balance - Texas State,819500,30.55578341374656,Texas,TX
296,2025-09-30,Nike - Texas State,1170380,43.63865502352739,Texas,TX
297,2025-08-31,Adidas - Texas State,1140280,26.527578417436903,Texas,TX
298,2025-08-31,New Balance - Texas State,1473710,34.28452449359888,Texas,TX
299,2025-08-31,Nike - Texas State,1684480,39.18789708896421,Texas,TX
300,2025-07-31,Adidas - Texas State,1082960,27.069804180352047,Texas,TX
301,2025-07-31,New Balance - Texas State,1265540,31.633596792497165,Texas,TX
302,2025-07-31,Nike - Texas State,1652120,41.29659902715079,Texas,TX
303,2025-06-30,Adidas - Texas State,686230,24.522402247014345,Texas,TX
304,2025-06-30,New Balance - Texas State,918730,32.83078066595673,Texas,TX
305,2025-06-30,Nike - Texas State,1193420,42.64681708702893,Texas,TX
306,2025-05-31,Adidas - Texas State,690740,24.346863676738053,Texas,TX
307,2025-05-31,New Balance - Texas State,940200,33.139707022713495,Texas,TX
308,2025-05-31,Nike - Texas State,1206140,42.51342930054845,Texas,TX
309,2025-04-30,Adidas - Texas State,700220,23.77584386215701,Texas,TX
310,2025-04-30,New Balance - Texas State,934500,31.730779025428763,Texas,TX
311,2025-04-30,Nike - Texas State,1310370,44.49337711241422,Texas,TX
312,2025-03-31,Adidas - Texas State,720060,23.46695346108721,Texas,TX
313,2025-03-31,New Balance - Texas State,1009760,32.908356146525875,Texas,TX
314,2025-03-31,Nike - Texas State,1338580,43.62469039238691,Texas,TX
315,2025-02-28,Adidas - Texas State,594250,23.166828454362225,Texas,TX
316,2025-02-28,New Balance - Texas State,831600,32.41991509069857,Texas,TX
317,2025-02-28,Nike - Texas State,1139240,44.4132564549392,Texas,TX
318,2025-01-31,Adidas - Texas State,656000,22.57173234604943,Texas,TX
319,2025-01-31,New Balance - Texas State,1009260,34.72674784691135,Texas,TX
320,2025-01-31,Nike - Texas State,1241030,42.70151980703922,Texas,TX
321,2024-12-31,Adidas - Texas State,1031670,22.116771890709916,Texas,TX
322,2024-12-31,New Balance - Texas State,1466750,31.44394541927047,Texas,TX
323,2024-12-31,Nike - Texas State,2166230,46.43928269001962,Texas,TX
324,2024-11-30,Adidas - Texas State,1076200,26.81436743805936,Texas,TX
325,2024-11-30,New Balance - Texas State,1154280,28.759791903366622,Texas,TX
326,2024-11-30,Nike - Texas State,1783040,44.42584065857402,Texas,TX
327,2024-10-31,Adidas - Texas State,824740,27.28605127424675,Texas,TX
328,2024-10-31,New Balance - Texas State,888680,29.40146961029852,Texas,TX
329,2024-10-31,Nike - Texas State,1309150,43.31247911545473,Texas,TX
330,2024-09-30,Adidas - Texas State,861570,26.357136957259936,Texas,TX
331,2024-09-30,New Balance - Texas State,1014480,31.034957461844147,Texas,TX
332,2024-09-30,Nike - Texas State,1392780,42.60790558089592,Texas,TX
333,2024-08-31,Adidas - Texas State,1549190,32.12700743247727,Texas,TX
334,2024-08-31,New Balance - Texas State,1478320,30.657309708673434,Texas,TX
335,2024-08-31,Nike - Texas State,1794570,37.21568285884929,Texas,TX
336,2024-07-31,Adidas - Texas State,1499710,31.357629741144983,Texas,TX
337,2024-07-31,New Balance - Texas State,1274980,26.658721197674907,Texas,TX
338,2024-07-31,Nike - Texas State,2007910,41.98364906118011,Texas,TX
339,2024-06-30,Adidas - Texas State,1044970,29.6238653308613,Texas,TX
340,2024-06-30,New Balance - Texas State,977160,27.70151893997381,Texas,TX
341,2024-06-30,Nike - Texas State,1505330,42.67461572916489,Texas,TX
342,2024-05-31,Adidas - Texas State,846810,27.678323369733977,Texas,TX
343,2024-05-31,New Balance - Texas State,929470,30.380098513794877,Texas,TX
